Roll No,cat 1,cat 2,cat 3,overall,conversion,Result
57,47,23,21,91,60,Average learners
58,48,19,20,87,58,Average learners
59,11,42,49,102,68,Average learners
60,26,44,22,92,61,Average learners
61,31,28,30,89,59,Average learners
62,18,13,13,44,29,slow leaners
63,48,16,14,78,52,Average learners
64,22,17,44,83,55,Average learners
65,46,41,11,98,65,Average learners
66,44,16,26,86,57,Average learners
67,16,22,15,53,35,slow leaners
68,31,49,20,100,66,Average learners
69,43,34,47,124,82,fast learners
70,48,43,28,119,79,fast learners
71,13,12,10,35,23,slow leaners
72,28,40,46,114,76,fast learners
73,28,44,28,100,66,Average learners
74,46,38,46,130,86,fast learners
75,27,23,49,99,66,Average learners
76,18,29,11,58,38,slow leaners
77,17,39,16,72,48,slow leaners
78,23,14,43,80,53,Average learners
79,37,25,34,96,64,Average learners
80,21,37,49,107,71,fast learners
81,11,28,28,67,44,slow leaners
82,11,33,15,59,39,slow leaners
83,13,16,44,73,48,slow leaners
84,31,33,11,75,50,Average learners
85,39,18,39,96,64,Average learners
86,10,12,12,34,22,slow leaners
87,11,24,34,69,46,slow leaners
88,13,17,39,69,46,slow leaners
89,47,47,27,121,80,fast learners
90,11,41,32,84,56,Average learners
91,19,35,24,78,52,Average learners
92,47,39,40,126,84,fast learners
93,37,15,20,72,48,slow leaners
94,18,18,21,57,38,slow leaners
95,27,37,41,105,70,fast learners
96,41,46,39,126,84,fast learners
97,22,13,10,45,30,slow leaners
98,42,29,11,82,54,Average learners
99,19,28,23,70,46,slow leaners
100,43,29,34,106,70,fast learners
101,36,36,17,89,59,Average learners
102,28,28,33,89,59,Average learners
103,42,49,34,125,83,fast learners
104,42,47,44,133,88,fast learners
105,31,26,24,81,54,Average learners
106,29,48,14,91,60,Average learners
107,45,11,43,99,66,Average learners
108,23,36,21,80,53,Average learners
109,38,11,28,77,51,Average learners
110,10,27,41,78,52,Average learners
111,15,23,46,84,56,Average learners
112,30,38,46,114,76,fast learners
113,40,37,27,104,69,Average learners
114,37,22,26,85,56,Average learners
115,25,40,41,106,70,fast learners
116,23,28,43,94,62,Average learners
117,31,23,38,92,61,Average learners
118,29,13,24,66,44,slow leaners
119,12,18,38,68,45,slow leaners
120,39,18,10,67,44,slow leaners
121,39,30,41,110,73,fast learners
122,12,47,27,86,57,Average learners
123,42,42,32,116,77,fast learners
124,14,12,23,49,32,slow leaners
125,25,27,19,71,47,slow leaners
126,38,26,33,97,64,Average learners
127,15,30,26,71,47,slow leaners
128,12,15,48,75,50,Average learners
129,25,32,41,98,65,Average learners
130,15,47,18,80,53,Average learners
131,33,27,15,75,50,Average learners
132,10,32,43,85,56,Average learners
133,43,41,42,126,84,fast learners
134,21,32,48,101,67,Average learners
135,32,49,22,103,68,Average learners
136,44,12,23,79,52,Average learners
137,20,32,39,91,60,Average learners
138,18,10,26,54,36,slow leaners
139,33,16,40,89,59,Average learners
140,49,37,41,127,84,fast learners
141,37,47,48,132,88,fast learners
142,34,21,27,82,54,Average learners
143,33,11,26,70,46,slow leaners
144,23,21,10,54,36,slow leaners
145,48,44,24,116,77,fast learners
146,40,40,37,117,78,fast learners
147,38,20,11,69,46,slow leaners
148,38,24,40,102,68,Average learners
149,11,47,14,72,48,slow leaners
150,20,16,30,66,44,slow leaners
151,45,46,41,132,88,fast learners
152,11,29,48,88,58,Average learners
153,27,43,43,113,75,fast learners
154,23,27,48,98,65,Average learners
155,31,40,27,98,65,Average learners
156,47,30,11,88,58,Average learners
157,27,28,35,90,60,Average learners
158,30,12,17,59,39,slow leaners
159,44,43,27,114,76,fast learners
160,24,42,23,89,59,Average learners
161,22,34,18,74,49,slow leaners
162,11,49,35,95,63,Average learners
163,27,24,10,61,40,slow leaners
164,42,36,23,101,67,Average learners
165,31,17,39,87,58,Average learners
166,14,42,30,86,57,Average learners
167,41,20,38,99,66,Average learners
168,31,28,41,100,66,Average learners
169,49,17,32,98,65,Average learners
170,21,17,32,70,46,slow leaners
171,10,44,21,75,50,Average learners
172,26,25,14,65,43,slow leaners
173,46,23,22,91,60,Average learners
174,46,35,18,99,66,Average learners
175,30,46,20,96,64,Average learners
176,16,17,19,52,34,slow leaners
177,14,31,49,94,62,Average learners
178,14,37,18,69,46,slow leaners
179,19,27,48,94,62,Average learners
180,14,18,48,80,53,Average learners
181,43,17,42,102,68,Average learners
182,29,39,47,115,76,fast learners
183,38,10,20,68,45,slow leaners
184,34,34,16,84,56,Average learners
185,34,17,33,84,56,Average learners
186,35,45,48,128,85,fast learners
187,48,33,30,111,74,fast learners
188,15,37,21,73,48,slow leaners
189,36,22,19,77,51,Average learners
190,40,38,27,105,70,fast learners
191,38,30,34,102,68,Average learners
192,18,22,22,62,41,slow leaners
193,44,31,20,95,63,Average learners
194,39,48,31,118,78,fast learners
195,10,49,24,83,55,Average learners
196,38,28,21,87,58,Average learners
197,32,23,30,85,56,Average learners
198,30,42,38,110,73,fast learners
199,11,10,24,45,30,slow leaners
200,26,15,13,54,36,slow leaners
201,16,14,12,42,28,slow leaners
202,22,44,35,101,67,Average learners
203,45,24,25,94,62,Average learners
204,32,16,20,68,45,slow leaners
205,27,33,47,107,71,fast learners
206,22,14,12,48,32,slow leaners
207,29,35,41,105,70,fast learners
208,41,41,42,124,82,fast learners
209,31,13,15,59,39,slow leaners
210,10,30,44,84,56,Average learners
211,36,49,39,124,82,fast learners
212,26,40,18,84,56,Average learners
213,16,39,48,103,68,Average learners
214,49,36,23,108,72,fast learners
215,27,39,13,79,52,Average learners
216,15,36,17,68,45,slow leaners
217,48,42,14,104,69,Average learners
218,12,49,29,90,60,Average learners
219,33,24,35,92,61,Average learners
220,35,33,25,93,62,Average learners
221,46,41,14,101,67,Average learners
222,15,21,33,69,46,slow leaners
223,28,31,13,72,48,slow leaners
224,14,34,47,95,63,Average learners
225,34,47,12,93,62,Average learners
226,28,42,32,102,68,Average learners
227,38,44,47,129,86,fast learners
228,11,49,45,105,70,fast learners
229,30,29,25,84,56,Average learners
230,49,35,43,127,84,fast learners
231,28,24,12,64,42,slow leaners
232,10,26,45,81,54,Average learners
233,11,37,14,62,41,slow leaners
234,27,33,38,98,65,Average learners
235,19,31,11,61,40,slow leaners
236,10,43,25,78,52,Average learners
237,44,18,16,78,52,Average learners
238,20,43,49,112,74,fast learners
239,27,11,37,75,50,Average learners
240,46,30,49,125,83,fast learners
241,10,38,11,59,39,slow leaners
242,45,19,47,111,74,fast learners
243,40,38,44,122,81,fast learners
244,33,40,34,107,71,fast learners
245,44,13,48,105,70,fast learners
246,44,30,32,106,70,fast learners
247,47,40,33,120,80,fast learners
248,38,11,34,83,55,Average learners
249,17,43,39,99,66,Average learners
250,13,21,19,53,35,slow leaners
251,32,40,36,108,72,fast learners
252,40,35,10,85,56,Average learners
253,39,41,11,91,60,Average learners
254,19,25,49,93,62,Average learners
255,30,37,21,88,58,Average learners
256,39,40,25,104,69,Average learners
257,32,47,27,106,70,fast learners
258,47,44,19,110,73,fast learners
259,27,40,17,84,56,Average learners
260,30,46,49,125,83,fast learners
261,22,20,15,57,38,slow leaners
262,28,20,32,80,53,Average learners
263,46,33,33,112,74,fast learners
264,30,38,26,94,62,Average learners
265,44,21,41,106,70,fast learners
266,43,46,33,122,81,fast learners
267,43,33,16,92,61,Average learners
268,43,46,32,121,80,fast learners
269,23,31,10,64,42,slow leaners
270,44,43,21,108,72,fast learners
271,31,24,23,78,52,Average learners
272,26,26,21,73,48,slow leaners
273,49,25,18,92,61,Average learners
274,46,24,30,100,66,Average learners
275,32,26,46,104,69,Average learners
276,13,19,24,56,37,slow leaners
277,29,28,36,93,62,Average learners
278,17,46,12,75,50,Average learners
279,12,19,32,63,42,slow leaners
280,31,12,15,58,38,slow leaners
281,12,35,16,63,42,slow leaners
282,27,28,11,66,44,slow leaners
283,14,39,35,88,58,Average learners
284,41,20,15,76,50,Average learners
285,17,36,36,89,59,Average learners
286,13,46,28,87,58,Average learners
287,13,36,13,62,41,slow leaners
288,25,10,28,63,42,slow leaners
289,34,25,13,72,48,slow leaners
290,45,23,16,84,56,Average learners
291,33,26,49,108,72,fast learners
292,39,44,23,106,70,fast learners
293,16,24,12,52,34,slow leaners
294,44,45,28,117,78,fast learners
295,46,11,34,91,60,Average learners
296,49,28,21,98,65,Average learners
297,19,30,10,59,39,slow leaners
298,29,47,36,112,74,fast learners
299,11,26,27,64,42,slow leaners
300,15,41,28,84,56,Average learners
301,33,30,22,85,56,Average learners
302,16,27,11,54,36,slow leaners
303,45,29,15,89,59,Average learners
304,17,35,17,69,46,slow leaners
305,39,43,39,121,80,fast learners
306,37,18,47,102,68,Average learners
307,47,31,48,126,84,fast learners
308,23,34,22,79,52,Average learners
309,36,30,16,82,54,Average learners
310,25,36,48,109,72,fast learners
311,13,12,38,63,42,slow leaners
312,12,24,21,57,38,slow leaners
313,27,46,48,121,80,fast learners
314,49,49,44,142,94,fast learners
315,38,22,25,85,56,Average learners
316,43,14,31,88,58,Average learners
317,12,37,16,65,43,slow leaners
318,42,26,24,92,61,Average learners
319,47,47,45,139,92,fast learners
320,27,44,21,92,61,Average learners
321,35,19,38,92,61,Average learners
322,16,13,18,47,31,slow leaners
323,16,14,16,46,30,slow leaners
324,26,31,21,78,52,Average learners
325,18,45,14,77,51,Average learners
326,25,11,29,65,43,slow leaners
327,48,27,10,85,56,Average learners
328,40,45,44,129,86,fast learners
329,40,25,43,108,72,fast learners
330,29,31,45,105,70,fast learners
331,17,39,31,87,58,Average learners
332,19,44,19,82,54,Average learners
333,35,27,25,87,58,Average learners
334,42,39,45,126,84,fast learners
335,14,47,24,85,56,Average learners
336,40,43,44,127,84,fast learners
337,39,25,38,102,68,Average learners
338,41,13,40,94,62,Average learners
339,23,12,44,79,52,Average learners
340,10,15,11,36,24,slow leaners
341,31,28,44,103,68,Average learners
342,19,43,28,90,60,Average learners
343,12,45,17,74,49,slow leaners
344,21,17,39,77,51,Average learners
345,28,32,30,90,60,Average learners
346,11,39,40,90,60,Average learners
347,15,40,32,87,58,Average learners
348,10,19,38,67,44,slow leaners
349,12,38,33,83,55,Average learners
350,35,49,14,98,65,Average learners
351,17,16,43,76,50,Average learners
352,32,47,37,116,77,fast learners
353,19,21,18,58,38,slow leaners
354,23,47,16,86,57,Average learners
355,38,16,41,95,63,Average learners
356,37,27,29,93,62,Average learners
357,41,38,12,91,60,Average learners
358,16,29,16,61,40,slow leaners
359,10,48,20,78,52,Average learners
360,19,33,36,88,58,Average learners
361,31,29,20,80,53,Average learners
362,29,46,35,110,73,fast learners
363,20,12,15,47,31,slow leaners
364,17,42,19,78,52,Average learners
365,41,49,24,114,76,fast learners
366,16,11,12,39,26,slow leaners
367,13,19,32,64,42,slow leaners
368,27,44,43,114,76,fast learners
369,40,11,11,62,41,slow leaners
370,13,49,35,97,64,Average learners
371,26,37,22,85,56,Average learners
372,20,25,20,65,43,slow leaners
373,39,17,48,104,69,Average learners
374,35,12,42,89,59,Average learners
375,18,30,40,88,58,Average learners
376,32,24,26,82,54,Average learners
377,36,35,34,105,70,fast learners
378,24,43,33,100,66,Average learners
379,48,47,30,125,83,fast learners
380,39,26,27,92,61,Average learners
381,38,36,27,101,67,Average learners
382,33,46,20,99,66,Average learners
383,36,36,49,121,80,fast learners
384,26,11,13,50,33,slow leaners
385,41,45,38,124,82,fast learners
386,29,32,34,95,63,Average learners
387,49,20,37,106,70,fast learners
388,10,14,11,35,23,slow leaners
389,49,40,46,135,90,fast learners
390,30,10,15,55,36,slow leaners
391,27,30,35,92,61,Average learners
392,44,23,37,104,69,Average learners
393,18,20,17,55,36,slow leaners
394,40,44,43,127,84,fast learners
395,16,47,15,78,52,Average learners
396,34,36,42,112,74,fast learners
397,23,38,49,110,73,fast learners
398,28,42,28,98,65,Average learners
399,27,38,11,76,50,Average learners
400,17,21,16,54,36,slow leaners
401,45,46,23,114,76,fast learners
402,36,19,23,78,52,Average learners
403,24,11,31,66,44,slow leaners
404,19,36,15,70,46,slow leaners
405,45,46,43,134,89,fast learners
406,28,45,48,121,80,fast learners
407,26,41,33,100,66,Average learners
408,22,35,18,75,50,Average learners
409,33,36,24,93,62,Average learners
410,19,12,17,48,32,slow leaners
411,20,24,38,82,54,Average learners
412,12,20,31,63,42,slow leaners
413,38,21,34,93,62,Average learners
414,20,27,38,85,56,Average learners
415,26,34,10,70,46,slow leaners
416,14,30,23,67,44,slow leaners
417,33,48,27,108,72,fast learners
418,30,37,28,95,63,Average learners
419,42,20,19,81,54,Average learners
420,23,20,47,90,60,Average learners
421,48,23,39,110,73,fast learners
422,48,32,12,92,61,Average learners
423,40,32,15,87,58,Average learners
424,41,39,16,96,64,Average learners
425,27,42,49,118,78,fast learners
426,24,34,40,98,65,Average learners
427,20,41,22,83,55,Average learners
428,16,15,36,67,44,slow leaners
429,30,40,34,104,69,Average learners
430,13,30,15,58,38,slow leaners
431,34,38,31,103,68,Average learners
432,17,21,19,57,38,slow leaners
433,32,15,18,65,43,slow leaners
434,20,33,33,86,57,Average learners
435,45,13,26,84,56,Average learners
436,31,24,34,89,59,Average learners
437,20,10,32,62,41,slow leaners
438,15,15,40,70,46,slow leaners
439,12,26,27,65,43,slow leaners
440,29,16,49,94,62,Average learners
441,19,43,26,88,58,Average learners
442,22,19,35,76,50,Average learners
443,27,27,47,101,67,Average learners
444,22,17,11,50,33,slow leaners
445,12,33,19,64,42,slow leaners
446,22,18,43,83,55,Average learners
447,21,31,46,98,65,Average learners
448,43,46,37,126,84,fast learners
449,29,12,41,82,54,Average learners
450,38,25,25,88,58,Average learners
451,11,39,19,69,46,slow leaners
452,15,21,36,72,48,slow leaners
453,25,21,46,92,61,Average learners
454,17,13,24,54,36,slow leaners
455,13,23,42,78,52,Average learners
456,36,32,15,83,55,Average learners
457,47,24,36,107,71,fast learners
458,34,45,46,125,83,fast learners
459,16,37,13,66,44,slow leaners
460,12,33,44,89,59,Average learners
461,21,19,26,66,44,slow leaners
462,21,38,23,82,54,Average learners
463,33,47,44,124,82,fast learners
464,21,32,44,97,64,Average learners
465,42,39,46,127,84,fast learners
466,18,36,35,89,59,Average learners
467,28,35,49,112,74,fast learners
468,32,46,36,114,76,fast learners
469,14,30,39,83,55,Average learners
470,20,20,38,78,52,Average learners
471,13,24,24,61,40,slow leaners
472,28,48,43,119,79,fast learners
473,47,18,16,81,54,Average learners
474,44,26,23,93,62,Average learners
475,49,17,24,90,60,Average learners
476,11,43,26,80,53,Average learners
477,26,49,19,94,62,Average learners
478,20,22,36,78,52,Average learners
479,15,20,35,70,46,slow leaners
480,33,11,37,81,54,Average learners
481,37,42,42,121,80,fast learners
482,34,42,16,92,61,Average learners
483,35,27,24,86,57,Average learners
484,22,46,37,105,70,fast learners
485,39,48,13,100,66,Average learners
486,12,25,48,85,56,Average learners
487,29,26,21,76,50,Average learners
488,40,24,42,106,70,fast learners
489,10,21,16,47,31,slow leaners
490,30,14,17,61,40,slow leaners
491,26,12,44,82,54,Average learners
492,25,43,32,100,66,Average learners
493,14,46,23,83,55,Average learners
494,26,25,37,88,58,Average learners
495,41,12,44,97,64,Average learners
496,13,34,13,60,40,slow leaners
497,23,11,18,52,34,slow leaners
498,32,20,30,82,54,Average learners
499,37,47,25,109,72,fast learners
500,34,48,37,119,79,fast learners
501,49,46,12,107,71,fast learners
502,12,12,38,62,41,slow leaners
503,30,11,44,85,56,Average learners
504,27,16,43,86,57,Average learners
505,31,20,13,64,42,slow leaners
506,40,39,15,94,62,Average learners
507,25,29,12,66,44,slow leaners
508,10,23,19,52,34,slow leaners
509,45,13,28,86,57,Average learners
510,14,16,24,54,36,slow leaners
511,26,43,17,86,57,Average learners
512,18,34,15,67,44,slow leaners
513,38,21,48,107,71,fast learners
514,14,13,23,50,33,slow leaners
515,14,33,33,80,53,Average learners
516,40,11,43,94,62,Average learners
517,21,18,43,82,54,Average learners
518,11,34,18,63,42,slow leaners
519,28,19,29,76,50,Average learners
520,25,15,43,83,55,Average learners
521,41,31,41,113,75,fast learners
522,44,15,19,78,52,Average learners
523,36,21,24,81,54,Average learners
524,44,13,14,71,47,slow leaners
525,42,19,15,76,50,Average learners
526,22,31,18,71,47,slow leaners
527,11,38,43,92,61,Average learners
528,35,48,44,127,84,fast learners
529,39,24,34,97,64,Average learners
530,40,30,10,80,53,Average learners
531,25,26,47,98,65,Average learners
532,21,44,44,109,72,fast learners
533,36,33,13,82,54,Average learners
534,27,32,31,90,60,Average learners
535,44,16,10,70,46,slow leaners
536,29,45,34,108,72,fast learners
537,30,21,26,77,51,Average learners
538,40,22,17,79,52,Average learners
539,33,23,41,97,64,Average learners
540,48,17,12,77,51,Average learners
541,42,47,45,134,89,fast learners
542,31,32,11,74,49,slow leaners
543,42,43,48,133,88,fast learners
544,23,38,28,89,59,Average learners
545,10,42,12,64,42,slow leaners
546,30,45,13,88,58,Average learners
547,25,21,32,78,52,Average learners
548,18,41,32,91,60,Average learners
549,35,20,22,77,51,Average learners
550,40,32,13,85,56,Average learners
551,16,17,39,72,48,slow leaners
552,43,27,45,115,76,fast learners
553,44,22,30,96,64,Average learners
554,28,18,43,89,59,Average learners
555,37,21,16,74,49,slow leaners
556,16,34,28,78,52,Average learners
557,23,26,11,60,40,slow leaners
558,24,46,38,108,72,fast learners
559,29,30,47,106,70,fast learners
560,40,43,23,106,70,fast learners
561,19,29,21,69,46,slow leaners
562,36,40,49,125,83,fast learners
563,12,47,48,107,71,fast learners
564,30,10,47,87,58,Average learners
565,37,25,29,91,60,Average learners
566,47,26,18,91,60,Average learners
567,38,15,18,71,47,slow leaners
568,32,20,47,99,66,Average learners
569,39,40,34,113,75,fast learners
570,41,16,28,85,56,Average learners
571,44,27,32,103,68,Average learners
572,17,24,14,55,36,slow leaners
573,33,45,12,90,60,Average learners
574,49,30,45,124,82,fast learners
575,30,32,22,84,56,Average learners
576,16,17,45,78,52,Average learners
577,29,10,23,62,41,slow leaners
578,32,44,41,117,78,fast learners
579,11,37,16,64,42,slow leaners
580,17,15,15,47,31,slow leaners
581,23,16,34,73,48,slow leaners
582,21,40,38,99,66,Average learners
583,14,15,13,42,28,slow leaners
584,26,26,18,70,46,slow leaners
585,15,44,11,70,46,slow leaners
586,21,23,42,86,57,Average learners
587,49,29,31,109,72,fast learners
588,11,13,25,49,32,slow leaners
589,37,40,26,103,68,Average learners
590,15,30,43,88,58,Average learners
591,31,12,29,72,48,slow leaners
592,41,25,44,110,73,fast learners
593,37,44,35,116,77,fast learners
594,28,10,15,53,35,slow leaners
595,26,32,17,75,50,Average learners
596,36,16,45,97,64,Average learners
597,20,35,31,86,57,Average learners
598,39,17,40,96,64,Average learners
599,16,25,20,61,40,slow leaners
600,21,17,21,59,39,slow leaners
601,36,42,37,115,76,fast learners
602,20,17,12,49,32,slow leaners
603,21,13,10,44,29,slow leaners
604,32,34,17,83,55,Average learners
605,24,18,37,79,52,Average learners
606,46,11,30,87,58,Average learners
607,43,13,37,93,62,Average learners
608,33,44,34,111,74,fast learners
609,27,14,16,57,38,slow leaners
610,34,14,26,74,49,slow leaners
611,29,47,32,108,72,fast learners
612,30,47,40,117,78,fast learners
613,48,33,31,112,74,fast learners
614,14,33,45,92,61,Average learners
615,24,40,10,74,49,slow leaners
616,12,19,12,43,28,slow leaners
617,21,31,24,76,50,Average learners
618,33,28,14,75,50,Average learners
619,42,27,43,112,74,fast learners
620,41,23,20,84,56,Average learners
621,20,40,41,101,67,Average learners
622,35,21,46,102,68,Average learners
623,46,15,25,86,57,Average learners
624,48,41,33,122,81,fast learners
625,41,13,17,71,47,slow leaners
626,16,11,27,54,36,slow leaners
627,22,19,41,82,54,Average learners
628,13,12,49,74,49,slow leaners
629,32,26,46,104,69,Average learners
630,28,36,44,108,72,fast learners
631,34,47,46,127,84,fast learners
632,35,18,35,88,58,Average learners
633,15,38,14,67,44,slow leaners
634,12,17,39,68,45,slow leaners
635,17,25,36,78,52,Average learners
636,44,36,45,125,83,fast learners
637,13,14,20,47,31,slow leaners
638,41,39,12,92,61,Average learners
639,13,21,47,81,54,Average learners
640,32,34,29,95,63,Average learners
641,46,21,13,80,53,Average learners
642,25,29,25,79,52,Average learners
643,46,36,17,99,66,Average learners
644,11,29,46,86,57,Average learners
645,40,40,17,97,64,Average learners
646,28,16,35,79,52,Average learners
647,27,29,12,68,45,slow leaners
648,15,11,22,48,32,slow leaners
649,37,48,10,95,63,Average learners
650,37,20,45,102,68,Average learners
651,45,13,42,100,66,Average learners
652,40,11,42,93,62,Average learners
653,19,34,10,63,42,slow leaners
654,14,10,48,72,48,slow leaners
655,39,27,29,95,63,Average learners
656,47,38,35,120,80,fast learners
657,47,22,38,107,71,fast learners
658,12,30,15,57,38,slow leaners
659,10,34,29,73,48,slow leaners
660,34,10,41,85,56,Average learners
661,29,45,33,107,71,fast learners
662,44,22,14,80,53,Average learners
663,34,35,33,102,68,Average learners
664,14,29,29,72,48,slow leaners
665,10,15,22,47,31,slow leaners
666,33,32,42,107,71,fast learners
667,31,41,16,88,58,Average learners
668,33,11,25,69,46,slow leaners
669,31,17,38,86,57,Average learners
670,21,41,21,83,55,Average learners
671,30,37,30,97,64,Average learners
672,35,28,21,84,56,Average learners
673,12,37,25,74,49,slow leaners
674,20,16,39,75,50,Average learners
675,49,43,36,128,85,fast learners
676,34,12,33,79,52,Average learners
677,41,11,49,101,67,Average learners
678,10,20,45,75,50,Average learners
679,16,26,26,68,45,slow leaners
680,23,45,40,108,72,fast learners
681,31,46,32,109,72,fast learners
682,38,38,38,114,76,fast learners
683,19,38,23,80,53,Average learners
684,24,41,47,112,74,fast learners
685,30,21,24,75,50,Average learners
686,46,41,15,102,68,Average learners
687,38,25,36,99,66,Average learners
688,47,18,31,96,64,Average learners
689,28,31,41,100,66,Average learners
690,23,14,10,47,31,slow leaners
691,10,32,33,75,50,Average learners
692,42,38,25,105,70,fast learners
693,10,14,28,52,34,slow leaners
694,11,42,23,76,50,Average learners
695,31,25,28,84,56,Average learners
696,41,13,44,98,65,Average learners
697,25,21,18,64,42,slow leaners
698,42,41,14,97,64,Average learners
699,24,44,14,82,54,Average learners
700,49,34,24,107,71,fast learners
701,39,23,37,99,66,Average learners
702,39,46,12,97,64,Average learners
703,12,19,22,53,35,slow leaners
704,39,24,10,73,48,slow leaners
705,10,30,23,63,42,slow leaners
706,36,17,47,100,66,Average learners
707,47,49,19,115,76,fast learners
708,15,26,37,78,52,Average learners
709,38,26,44,108,72,fast learners
710,42,34,10,86,57,Average learners
711,15,43,11,69,46,slow leaners
712,42,27,17,86,57,Average learners
713,48,46,34,128,85,fast learners
714,19,24,15,58,38,slow leaners
715,10,11,22,43,28,slow leaners
716,22,29,43,94,62,Average learners
717,20,39,36,95,63,Average learners
718,35,40,19,94,62,Average learners
719,35,30,18,83,55,Average learners
720,26,36,46,108,72,fast learners
721,25,20,18,63,42,slow leaners
722,34,20,23,77,51,Average learners
723,24,31,49,104,69,Average learners
724,36,27,12,75,50,Average learners
725,31,18,22,71,47,slow leaners
726,29,39,22,90,60,Average learners
727,30,25,43,98,65,Average learners
728,24,30,47,101,67,Average learners
729,31,13,21,65,43,slow leaners
730,48,28,18,94,62,Average learners
731,34,26,48,108,72,fast learners
732,20,24,45,89,59,Average learners
733,33,15,12,60,40,slow leaners
734,33,34,18,85,56,Average learners
735,38,47,17,102,68,Average learners
736,17,34,46,97,64,Average learners
737,48,26,44,118,78,fast learners
738,49,31,13,93,62,Average learners
739,38,14,49,101,67,Average learners
740,17,30,36,83,55,Average learners
741,24,27,10,61,40,slow leaners
742,18,36,34,88,58,Average learners
743,38,35,21,94,62,Average learners
744,14,15,32,61,40,slow leaners
745,26,15,37,78,52,Average learners
746,24,21,39,84,56,Average learners
747,10,13,21,44,29,slow leaners
748,33,29,20,82,54,Average learners
749,13,24,47,84,56,Average learners
750,23,41,20,84,56,Average learners
751,45,36,18,99,66,Average learners
752,45,14,24,83,55,Average learners
753,11,20,17,48,32,slow leaners
754,30,36,47,113,75,fast learners
755,37,43,18,98,65,Average learners
756,44,47,37,128,85,fast learners
757,14,32,18,64,42,slow leaners
758,30,20,32,82,54,Average learners
759,40,16,33,89,59,Average learners
760,30,45,43,118,78,fast learners
761,26,28,18,72,48,slow leaners
762,38,38,49,125,83,fast learners
763,28,22,47,97,64,Average learners
764,43,16,35,94,62,Average learners
765,47,29,13,89,59,Average learners
766,45,24,46,115,76,fast learners
767,43,30,25,98,65,Average learners
768,44,13,25,82,54,Average learners
769,46,18,24,88,58,Average learners
770,14,48,26,88,58,Average learners
771,43,37,17,97,64,Average learners
772,24,49,14,87,58,Average learners
773,25,43,47,115,76,fast learners
774,14,27,48,89,59,Average learners
775,15,47,29,91,60,Average learners
776,38,31,10,79,52,Average learners
777,32,44,10,86,57,Average learners
778,24,35,47,106,70,fast learners
779,15,32,27,74,49,slow leaners
780,18,48,18,84,56,Average learners
781,42,45,16,103,68,Average learners
782,24,39,12,75,50,Average learners
783,43,47,33,123,82,fast learners
784,34,39,37,110,73,fast learners
785,21,48,45,114,76,fast learners
786,17,40,41,98,65,Average learners
787,44,28,34,106,70,fast learners
788,43,42,49,134,89,fast learners
789,13,17,13,43,28,slow leaners
790,45,17,49,111,74,fast learners
791,41,44,15,100,66,Average learners
792,49,13,42,104,69,Average learners
793,23,12,47,82,54,Average learners
794,20,21,30,71,47,slow leaners
795,47,41,26,114,76,fast learners
796,29,11,22,62,41,slow leaners
797,29,28,12,69,46,slow leaners
798,20,12,15,47,31,slow leaners
799,46,33,35,114,76,fast learners
800,18,12,38,68,45,slow leaners
801,26,18,42,86,57,Average learners
802,39,47,41,127,84,fast learners
803,32,34,14,80,53,Average learners
804,20,33,32,85,56,Average learners
805,13,43,13,69,46,slow leaners
806,26,48,46,120,80,fast learners
807,27,13,48,88,58,Average learners
